license_id,violation_date,violation_points,violation_type,county
250200346-6,2025-11-14,4,SPEEDING_11_20_OVER,Bronx County
388158707-1,2025-11-02,3,FAILURE_TO_STOP,Queens County
531463814-2,2025-11-09,6,SPEEDING_21_PLUS_OVER,Bronx County
414203489-8,2025-11-08,3,FAILURE_TO_STOP,Bronx County
876114691-9,2025-11-04,3,SPEEDING_1_10_OVER,Bronx County
470359441-2,2025-11-04,3,SPEEDING_1_10_OVER,Kings County
394802969-5,2025-11-03,5,RECKLESS_DRIVING,Queens County
105810885-9,2025-11-10,3,RED_LIGHT_VIOLATION,Queens County
340633297-8,2025-11-08,3,RED_LIGHT_VIOLATION,Bronx County
300075121-1,2025-11-06,6,SPEEDING_21_PLUS_OVER,New York County
265564888-9,2025-11-02,5,RECKLESS_DRIVING,Richmond County
889476909-7,2025-11-06,6,SPEEDING_21_PLUS_OVER,New York County
948798160-8,2025-11-05,3,SPEEDING_1_10_OVER,Richmond County
680439076-8,2025-11-05,3,SPEEDING_1_10_OVER,Queens County
392125718-2,2025-11-09,3,SPEEDING_1_10_OVER,Bronx County
904898325-8,2025-11-13,3,RED_LIGHT_VIOLATION,Bronx County
588061426-3,2025-11-02,3,FAILURE_TO_STOP,New York County
829876198-7,2025-11-14,6,SPEEDING_21_PLUS_OVER,Bronx County
417204821-8,2025-11-08,5,RECKLESS_DRIVING,New York County
238171763-3,2025-11-11,6,SPEEDING_21_PLUS_OVER,Kings County
130714969-3,2025-11-03,6,SPEEDING_21_PLUS_OVER,Queens County
661171406-5,2025-11-05,6,SPEEDING_21_PLUS_OVER,Bronx County
997871201-1,2025-11-11,6,SPEEDING_21_PLUS_OVER,Richmond County
706320646-X,2025-11-03,4,SPEEDING_11_20_OVER,Richmond County
932770619-6,2025-11-01,3,FAILURE_TO_STOP,Kings County
805491756-2,2025-11-11,6,SPEEDING_21_PLUS_OVER,New York County
870545185-X,2025-11-02,3,FAILURE_TO_STOP,New York County
634760737-9,2025-11-09,4,SPEEDING_11_20_OVER,Queens County
001712470-0,2025-11-12,3,FAILURE_TO_STOP,Kings County
109261817-1,2025-11-08,6,SPEEDING_21_PLUS_OVER,Kings County
252593013-4,2025-11-12,3,FAILURE_TO_STOP,Queens County
886240190-6,2025-11-04,6,SPEEDING_21_PLUS_OVER,New York County
844669215-5,2025-11-03,4,SPEEDING_11_20_OVER,Queens County
639031968-1,2025-11-08,3,FAILURE_TO_STOP,New York County
889470947-7,2025-11-12,4,SPEEDING_11_20_OVER,Queens County
483144336-0,2025-11-06,3,SPEEDING_1_10_OVER,Bronx County
956840828-2,2025-11-13,3,SPEEDING_1_10_OVER,Kings County
744037035-X,2025-11-05,3,RED_LIGHT_VIOLATION,Richmond County
711476697-1,2025-11-03,3,FAILURE_TO_STOP,Richmond County
889942077-7,2025-11-10,3,SPEEDING_1_10_OVER,Queens County
581951253-7,2025-11-14,6,SPEEDING_21_PLUS_OVER,Bronx County
849934588-3,2025-11-05,3,SPEEDING_1_10_OVER,Queens County
315414240-1,2025-11-14,3,SPEEDING_1_10_OVER,New York County
617794429-9,2025-11-08,6,SPEEDING_21_PLUS_OVER,Kings County
837834128-3,2025-11-03,3,RED_LIGHT_VIOLATION,Kings County
973372089-5,2025-11-04,4,SPEEDING_11_20_OVER,Kings County
340919490-8,2025-11-11,3,RED_LIGHT_VIOLATION,New York County
878902363-3,2025-11-08,6,SPEEDING_21_PLUS_OVER,Queens County
158504497-0,2025-11-10,4,SPEEDING_11_20_OVER,Kings County
080726081-9,2025-11-14,5,RECKLESS_DRIVING,Bronx County
235234058-6,2025-11-08,3,RED_LIGHT_VIOLATION,Queens County
496388693-6,2025-11-02,3,FAILURE_TO_STOP,New York County
876038484-0,2025-11-03,4,SPEEDING_11_20_OVER,Queens County
236764860-3,2025-11-09,3,SPEEDING_1_10_OVER,Kings County
416232184-1,2025-11-04,3,SPEEDING_1_10_OVER,Richmond County
806285087-0,2025-11-12,6,SPEEDING_21_PLUS_OVER,Queens County
210951990-8,2025-11-09,5,RECKLESS_DRIVING,Kings County
255396453-6,2025-11-08,5,RECKLESS_DRIVING,Bronx County
347590038-6,2025-11-02,3,FAILURE_TO_STOP,Richmond County
232404667-9,2025-11-05,3,RED_LIGHT_VIOLATION,Queens County
493795335-4,2025-11-03,5,RECKLESS_DRIVING,Queens County
680638681-4,2025-11-10,6,SPEEDING_21_PLUS_OVER,New York County
974557246-2,2025-11-05,6,SPEEDING_21_PLUS_OVER,Richmond County
576029450-4,2025-11-14,3,RED_LIGHT_VIOLATION,Kings County
628238455-9,2025-11-05,6,SPEEDING_21_PLUS_OVER,Richmond County
931318101-0,2025-11-02,3,FAILURE_TO_STOP,Richmond County
398783036-0,2025-11-02,3,RED_LIGHT_VIOLATION,Queens County
349942198-4,2025-11-04,3,FAILURE_TO_STOP,Bronx County
512622982-6,2025-11-07,3,SPEEDING_1_10_OVER,Queens County
308664297-1,2025-11-09,3,FAILURE_TO_STOP,New York County
229746432-0,2025-11-05,4,SPEEDING_11_20_OVER,New York County
321937270-8,2025-11-05,3,RED_LIGHT_VIOLATION,Richmond County
247622559-2,2025-11-12,3,RED_LIGHT_VIOLATION,Bronx County
461427822-1,2025-11-12,6,SPEEDING_21_PLUS_OVER,Richmond County
408209559-4,2025-11-08,4,SPEEDING_11_20_OVER,Bronx County
466930367-8,2025-11-13,3,RED_LIGHT_VIOLATION,Richmond County
633325200-X,2025-11-04,3,FAILURE_TO_STOP,Richmond County
510859722-3,2025-11-14,3,RED_LIGHT_VIOLATION,Bronx County
006397647-1,2025-11-09,6,SPEEDING_21_PLUS_OVER,New York County
252935883-4,2025-11-08,4,SPEEDING_11_20_OVER,Kings County
805188549-X,2025-11-01,6,SPEEDING_21_PLUS_OVER,Kings County
939587421-X,2025-11-06,3,FAILURE_TO_STOP,Richmond County
185374329-1,2025-11-12,5,RECKLESS_DRIVING,New York County
065784294-X,2025-11-13,4,SPEEDING_11_20_OVER,Bronx County
048377622-X,2025-11-02,4,SPEEDING_11_20_OVER,Bronx County
535320618-5,2025-11-13,3,RED_LIGHT_VIOLATION,New York County
116306038-0,2025-11-05,3,SPEEDING_1_10_OVER,Bronx County
868083185-9,2025-11-02,5,RECKLESS_DRIVING,Queens County
300431643-9,2025-11-07,6,SPEEDING_21_PLUS_OVER,Kings County
914010164-9,2025-11-07,4,SPEEDING_11_20_OVER,Richmond County
258846979-5,2025-11-01,3,FAILURE_TO_STOP,New York County
280290923-1,2025-11-14,3,RED_LIGHT_VIOLATION,Queens County
071563094-6,2025-11-05,3,RED_LIGHT_VIOLATION,Bronx County
237621546-3,2025-11-02,6,SPEEDING_21_PLUS_OVER,Queens County
542948053-3,2025-11-09,4,SPEEDING_11_20_OVER,New York County
623529191-4,2025-11-02,5,RECKLESS_DRIVING,New York County
028126076-1,2025-11-12,6,SPEEDING_21_PLUS_OVER,Queens County
089117034-0,2025-11-06,5,RECKLESS_DRIVING,New York County
724062326-2,2025-11-14,5,RECKLESS_DRIVING,Queens County
213870043-7,2025-11-10,5,RECKLESS_DRIVING,New York County
